10,11,12,13,14,,,,Repeated A's
0.0047,0.015,0.037,0.116,0.38,,,,
,3.191489362,2.466666667,3.135135135,3.275862069,,,,
,,,,,,,,
Random Text,,,,,,65536,131072,
10,11,12,13,14,15,16,17,Exponent of 2 of N
0.004,0.0054,0.008,0.013,0.026,0.056,0.119,0.266,Time
,1.35,1.481481481,1.625,2,2.153846154,2.125,2.235294118,Ratio
3.90625,2.397017045,1.627604167,1.220703125,1.133510045,1.139322917,1.134872437,1.19377585,Constant*1000000
,,,,,,,,
"Again A's, after minor crash",,,,,,,,
10,11,12,13,14,15,16,17,
0.01,0.0178,0.042,0.122,0.387,1.4,5.2,,
,0.00182272,2.359550562,2.904761905,3.172131148,3.617571059,3.714285714,0,Ratio
9.765625,7.901278409,8.544921875,11.45582933,16.87186105,28.48307292,49.59106445,0,Constant*1000000
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,11,12,13,14,15,16,17,
,,,,,,,,
,,,,,,,,
10240,22528,49152,106496,229376,491520,1048576,2228224,
,2.2,2.181818182,2.166666667,2.153846154,2.142857143,2.133333333,2.125,Expected ratios if n log n
